City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
377,Les Cayes,18.2,-73.75,70.84,84,8,2.89,HT,1674629097
378,Haines Junction,60.7522,-137.5108,23.85,97,100,3.89,CA,1674629098
379,Ulladulla,-35.35,150.4667,77.59,66,0,13.33,AU,1674629098
380,Lima,-12.0432,-77.0282,70.9,84,0,9.22,PE,1674629099
381,Yerbogachën,61.2767,108.0108,-18.47,87,100,3.85,RU,1674629100
382,Nelson Bay,-32.7167,152.15,82.09,76,0,14.0,AU,1674629100
383,Kuldīga,56.974,21.9572,37.09,94,100,10.89,LV,1674629101
384,Benidorm,38.5382,-0.131,47.48,71,100,12.57,ES,1674629101
385,Belmonte,-15.8631,-38.8828,76.24,88,100,8.08,BR,1674629102
386,Silver City,32.7701,-108.2803,30.02,63,0,12.66,US,1674629103
387,Troitsko-Pechorsk,62.7084,56.1964,14.79,92,87,8.23,RU,1674629103
388,Tilichiki,60.4667,166.1,9.21,82,100,10.38,RU,1674629104
389,Palmer,42.1584,-72.3287,33.4,81,100,6.91,US,1674629104
390,Port Hardy,50.6996,-127.4199,41.18,100,100,2.3,CA,1674628937
391,North Platte,41.1239,-100.7654,20.32,86,0,5.99,US,1674629106
392,Vanimo,-2.6741,141.3028,83.05,73,93,7.96,PG,1674629107
393,Damāvand,35.7178,52.065,24.08,55,2,3.15,IR,1674629108
394,Batagay,67.6333,134.6333,-56.27,99,97,1.86,RU,1674629108
395,Tarata,-17.6167,-66.0167,65.62,74,100,1.57,BO,1674629109
396,Zyryanka,65.75,150.85,-22.54,99,98,2.68,RU,1674629109
397,Podporozh'ye,60.9112,34.1706,31.01,96,100,13.49,RU,1674629110
398,Zhuhai,22.2769,113.5678,58.71,54,20,12.66,CN,1674629111
399,Ca Mau,9.1769,105.15,84.85,50,75,10.13,VN,1674629112
400,Çarşamba,41.1989,36.7219,49.69,93,75,1.14,TR,1674629113
401,Kaputa,-8.4689,29.6619,72.57,77,100,0.58,ZM,1674629114
402,Mana,5.6592,-53.7767,73.35,78,82,7.76,GF,1674629114
403,Chaiya,9.3862,99.1986,79.18,79,100,16.11,TH,1674629115
404,Ancud,-41.8697,-73.8203,51.58,86,35,2.3,CL,1674629116
405,Kamenka,51.3223,42.7678,19.38,73,2,4.41,RU,1674629116
406,Sinnamary,5.3833,-52.95,73.65,76,43,9.64,GF,1674629117
407,Havelock,34.8791,-76.9013,45.93,74,20,2.17,US,1674629118
408,Bima,-8.4667,118.7167,85.05,72,98,3.31,ID,1674629118
409,Mount Isa,-20.7333,139.5,96.57,36,40,5.75,AU,1674629119
410,Kununurra,-15.7667,128.7333,91.38,58,40,12.66,AU,1674629119
411,Moussoro,13.6408,16.4901,73.2,10,70,12.12,TD,1674629120
412,Muroto-misakicho,33.2833,134.15,40.42,45,14,13.02,JP,1674629121
413,Maniitsoq,65.4167,-52.9,24.66,65,100,12.3,GL,1674629122
414,Kochki,54.3358,80.4806,11.08,94,100,8.77,RU,1674629122
415,Presidencia Roque Sáenz Peña,-26.7852,-60.4388,81.34,40,47,5.37,AR,1674629123
416,Puri,19.8,85.85,86.52,51,0,5.73,IN,1674629123
417,Huangpi,30.8845,114.3779,41.11,30,0,4.47,CN,1674629124
418,Pedernales,18.0384,-71.744,74.1,62,6,3.02,DO,1674629125
419,Río Gallegos,-51.6226,-69.2181,55.45,38,0,20.71,AR,1674628893
420,Oistins,13.0667,-59.5333,75.29,88,40,20.71,BB,1674629126
421,Gōtsuchō,35.0,132.2167,35.47,64,100,12.62,JP,1674629126
422,Caravelas,-17.7125,-39.2481,76.95,87,100,8.93,BR,1674629127
423,Whitefish,48.4111,-114.3376,11.98,97,100,1.68,US,1674629128
424,Pangai,-19.8,-174.35,86.11,58,20,5.75,TO,1674629128
425,Kortkeros,61.8106,51.5806,23.0,94,100,8.16,RU,1674629129
